"","Program.Code","From.Grade","To.Grade","Group.State","Is.Non.Annual.","Days","Travel.Type","Departure.Date","Return.Date","Deposit.Date","Special.Pay","Tuition","FRP.Active","FRP.Cancelled","FRP.Take.up.percent.","Early.RPL","Latest.RPL","Cancelled.Pax","Total.Discount.Pax","Initial.System.Date","Poverty.Code","Region","CRM.Segment","School.Type","Parent.Meeting.Flag","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","Income.Level","EZ.Pay.Take.Up.Rate","School.Sponsor","SPR.Product.Type","SPR.New.Existing","FPP","Total.Pax","SPR.Group.Revenue","NumberOfMeetingswithParents","FirstMeeting","LastMeeting","DifferenceTraveltoFirstMeeting","DifferenceTraveltoLastMeeting","SchoolGradeTypeLow","SchoolGradeTypeHigh","SchoolGradeType","DepartureMonth","GroupGradeTypeLow","GroupGradeTypeHigh","GroupGradeType","MajorProgramCode","SingleGradeTripFlag","FPP.to.School.enrollment","FPP.to.PAX","Num.of.Non_FPP.PAX","SchoolSizeIndicator","Retained.in.2012.","From.Grade_surrogate","To.Grade_surrogate","Special.Pay_surrogate","Early.RPL_surrogate","Latest.RPL_surrogate","Initial.System.Date_surrogate","CRM.Segment_surrogate","MDR.High.Grade_surrogate","Total.School.Enrollment_surrogate","FirstMeeting_surrogate","LastMeeting_surrogate","DifferenceTraveltoFirstMeeting_surrogate","DifferenceTraveltoLastMeeting_surrogate","FPP.to.School.enrollment_surrogate"
"230","HD","7","8","IL","0","3","A",2011-03-18,2011-03-20,2010-10-05,"FIXED_NA",1058,19,1,0.704,2010-03-24,2010-08-23,1,5,2010-03-24,"B","Other","10","PUBLIC","1","7","8",334,"M",0.185,"0","East Coast","EXISTING",27,32,1058,"1",2010-09-14,2010-09-14,185,185,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.080838323,0.84375,5,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"231","HD","8","8","MI","0","3","A",2011-03-18,2011-03-20,2010-10-31,"FR",1149,72,9,0.791,2010-02-26,2010-09-01,12,8,2010-02-27,"B","Other","10","PUBLIC","1","6","8",760,"L",0.319,"0","East Coast","EXISTING",91,99,1149,"1",2010-09-20,2010-09-20,179,179,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.119736842,0.919191919,8,"M-L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"232","HVP","FIXED_NA","FIXED_NA","Other.Group.State","0","3","B",2011-03-18,2011-03-20,2010-11-19,"FIXED_NA",399,13,2,0.394,1900-01-01,2010-09-08,2,2,2010-09-08,"A","Other","8","PUBLIC","1","9","12",1301,"O",0.061,"0","East Coast","NEW",33,35,399,"1",2010-11-10,2010-11-10,128,128,"Undefined","Undefined","Undefined->Undefined","March","High","High","High->High","H","0",0.025365104,0.942857143,2,"L","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0"
"233","HC","11","12","IA","1","5","A",2011-03-18,2011-03-22,2010-11-15,"FIXED_NA",2002,28,5,0.583,2010-03-02,2010-10-05,5,3,2010-01-22,"C","Other","8","PUBLIC","1","9","12",450,"F",0.313,"0","East Coast","EXISTING",48,51,2002,"2",2010-05-16,2010-11-07,306,131,"High","High","High->High","March","High","High","High->High","H","0",0.106666667,0.941176471,3,"S-M","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"234","HVP","7","8","IN","0","5","B",2011-03-18,2011-03-22,2010-10-30,"FIXED_NA",460,27,8,0.551,2010-03-08,2010-09-01,8,3,2010-03-06,"C","Other","10","PUBLIC","1","5","8",423,"I",0.143,"0","East Coast","NEW",49,52,460,"2",2010-04-22,2010-10-21,330,148,"Middle","Middle","Middle->Middle","March","Elementary","Middle","Elementary->Middle","H","0",0.115839243,0.942307692,3,"S-M","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"235","HD","8","8","MO","0","6","B",2011-03-18,2011-03-23,2010-10-18,"FIXED_NA",1039,18,2,0.529,2010-02-25,2010-08-13,2,2,2010-02-18,"C","Other","10","PUBLIC","1","6","8",758,"F",0.235,"0","East Coast","EXISTING",34,36,1039,"1",2010-09-14,2010-09-14,185,185,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.044854881,0.944444444,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"236","HD","8","8","MO","0","6","B",2011-03-18,2011-03-23,2010-10-18,"FIXED_NA",1039,54,10,0.524,2010-02-25,2010-08-13,13,10,2010-02-18,"C","Other","10","PUBLIC","1","6","8",702,"H",0.243,"0","East Coast","EXISTING",103,113,1039,"1",2010-09-14,2010-09-14,185,185,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.146723647,0.911504425,10,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"237","HD","8","8","MO","0","6","B",2011-03-18,2011-03-23,2010-10-18,"FIXED_NA",1039,20,2,0.769,2010-03-26,2010-08-24,2,1,2010-03-24,"C","Other","10","PUBLIC","1","6","8",470,"C",0.462,"0","East Coast","EXISTING",26,27,1039,"1",2010-09-14,2010-09-14,185,185,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.055319149,0.962962963,1,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"238","HD","8","8","MO","0","6","B",2011-03-18,2011-03-23,2010-10-20,"FIXED_NA",1002,38,5,0.576,2010-03-17,2010-08-21,6,6,2010-03-16,"C","Other","10","PUBLIC","1","7","8",644,"J",0.303,"0","East Coast","EXISTING",66,72,1002,"1",2010-08-31,2010-08-31,199,199,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.102484472,0.916666667,6,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"239","HD","4","5","CA","0","7","A",2011-03-18,2011-03-25,2010-10-15,"FIXED_NA",2599,6,0,0.261,2010-04-01,2010-08-23,0,3,2010-04-02,"","Southern California","5","CHD","1","PK","8",300,"J",0.304,"1","East Coast","EXISTING",23,26,2599,"1",2010-09-14,2010-09-14,185,185,"Elementary","Elementary","Elementary->Elementary","March","PK","Middle","PK->Middle","H","0",0.076666667,0.884615385,3,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"240","HG","4","4","CA","0","2","A",2011-03-19,2011-03-20,2010-10-30,"FIXED_NA",618,9,2,0.391,2010-04-29,2010-09-02,6,2,2010-04-28,"A","Southern California","4","PUBLIC","1","K","5",980,"Q",0.174,"0","CA History","EXISTING",23,25,618,"1",2010-10-20,2010-10-20,150,150,"Elementary","Elementary","Elementary->Elementary","March","K","Elementary","K->Elementary","H","1",0.023469388,0.92,2,"L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"241","HD","8","8","MO","0","3","A",2011-03-19,2011-03-21,2010-10-31,"FIXED_NA",1068,13,4,0.867,2010-03-02,2010-08-23,5,2,2010-03-02,"B","Other","10","PUBLIC","1","7","8",750,"K",0.2,"0","East Coast","NEW",15,17,1068,"1",2010-09-07,2010-09-07,193,193,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.02,0.882352941,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"242","HN","11","12","TN","1","4","A",2011-03-19,2011-03-22,2010-10-15,"FIXED_NA",1967,10,2,0.909,2010-02-17,2010-08-24,2,2,2010-02-02,"C","Other","8","PUBLIC","0","9","12",380,"C",0.273,"0","East Coast","EXISTING",11,13,1967,"0",1900-01-01,1900-01-01,0,0,"High","High","High->High","March","High","High","High->High","H","0",0.028947368,0.846153846,2,"S-M","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"243","HD","8","8","GA","0","4","A",2011-03-19,2011-03-22,2010-10-01,"FIXED_NA",1219,22,1,0.733,2010-04-27,2010-08-16,1,2,2010-04-27,"","Other","2","Private non-Christian","1","PK","12",428,"I",0.433,"0","East Coast","EXISTING",30,32,1219,"1",2010-09-28,2010-09-28,172,172,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","H","1",0.070093458,0.9375,2,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"244","SG","11","12","VA","0","4","A",2011-03-19,2011-03-22,2010-10-15,"FIXED_NA",1596,10,2,0.909,2010-03-24,2010-08-31,2,1,2010-03-19,"B","Other","6","PUBLIC","1","9","12",1300,"M",0.182,"0","Science","EXISTING",11,12,1596,"1",2010-09-15,2010-09-15,185,185,"High","High","High->High","March","High","High","High->High","S","0",0.008461538,0.916666667,1,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"245","HD","7","8","AZ","0","4","A",2011-03-19,2011-03-22,2010-10-22,"FIXED_NA",1834,6,3,0.375,1900-01-01,2010-07-27,3,2,2010-05-08,"B","Other","5","PUBLIC","1","7","8",970,"N",0,"0","East Coast","EXISTING",16,18,1834,"1",2010-08-25,2010-08-25,206,206,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.016494845,0.888888889,2,"L","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"246","SG","10","12","VA","0","4","A",2011-03-19,2011-03-22,2010-10-29,"FIXED_NA",1593,15,4,0.75,2010-04-22,2010-09-16,5,2,2010-03-17,"A","Other","6","PUBLIC","1","9","12",2127,"P",0.05,"0","Science","EXISTING",20,22,1593,"1",2010-10-14,2010-10-14,156,156,"High","High","High->High","March","High","High","High->High","S","0",0.009402915,0.909090909,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"247","HD","FIXED_NA","FIXED_NA","CO","0","4","A",2011-03-19,2011-03-22,2010-10-30,"FIXED_NA",1651,7,1,0.636,1900-01-01,2010-10-11,2,2,2010-10-08,"B","Other","10","PUBLIC","1","6","8",925,"O",0.091,"0","East Coast","NEW",11,13,1651,"1",2010-10-21,2010-10-21,149,149,"Undefined","Undefined","Undefined->Undefined","March","Middle","Middle","Middle->Middle","H","0",0.011891892,0.846153846,2,"L","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0"
"248","HD","7","8","CA","0","5","A",2011-03-19,2011-03-23,2010-12-31,"FIXED_NA",1967,18,0,0.692,2010-03-31,2010-08-23,1,2,2010-03-31,"B","Southern California","5","PUBLIC","1","6","8",533,"L",0.039,"0","East Coast","EXISTING",26,28,1967,"1",2010-09-15,2010-09-15,185,185,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.048780488,0.928571429,2,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"249","HD","8","8","KS","0","4","A",2011-03-19,2011-03-23,2010-10-09,"FIXED_NA",1632,25,11,0.781,2010-02-24,2010-08-10,11,2,2010-02-21,"B","Other","10","PUBLIC","1","6","8",950,"I",0.188,"0","East Coast","EXISTING",32,34,1632,"1",2010-09-13,2010-09-13,187,187,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.033684211,0.941176471,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"250","HD","8","8","CO","0","5","A",2011-03-19,2011-03-23,2010-10-15,"FIXED_NA",1549,30,4,0.682,2010-02-15,2010-08-19,6,3,2010-02-13,"B","Other","10","PUBLIC","1","K","8",982,"P",0.341,"0","East Coast","EXISTING",44,47,1549,"1",2010-09-15,2010-09-15,185,185,"Middle","Middle","Middle->Middle","March","K","Middle","K->Middle","H","1",0.044806517,0.936170213,3,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"251","HD","8","9","FL","0","5","B",2011-03-19,2011-03-23,2010-10-08,"FIXED_NA",875,14,5,0.609,2010-05-19,2010-05-19,5,4,2010-05-20,"B","Other","10","PUBLIC","1","6","8",1101,"M",0.13,"0","East Coast","NEW",23,27,875,"1",2010-09-01,2010-09-01,199,199,"Middle","High","Middle->High","March","Middle","Middle","Middle->Middle","H","0",0.0208901,0.851851852,4,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"252","HD","8","8","CO","0","5","A",2011-03-19,2011-03-23,2010-10-15,"FIXED_NA",1847,12,5,0.632,2010-02-25,2010-08-13,6,1,2010-02-25,"B","Other","5","PUBLIC","1","6","8",1110,"P",0.211,"0","East Coast","EXISTING",19,20,1847,"1",2010-09-13,2010-09-13,187,187,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.017117117,0.95,1,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"253","HC","8","8","OR","0","6","A",2011-03-19,2011-03-24,2010-11-19,"FR",2588,7,1,0.233,2010-04-12,2010-08-12,5,3,2010-03-31,"C","Pacific Northwest","5","PUBLIC","1","6","8",538,"E",0.2,"0","East Coast","EXISTING",30,33,2588,"1",2010-09-09,2010-09-09,191,191,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.055762082,0.909090909,3,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"254","HD","8","8","CO","0","6","A",2011-03-19,2011-03-24,2010-11-01,"FR",2125,26,6,0.634,2010-02-01,2010-08-13,9,8,2010-01-30,"B","Other","10","PUBLIC","1","6","8",1038,"O",0.073,"0","East Coast","EXISTING",41,49,2125,"2",2010-04-13,2010-08-31,340,200,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.039499037,0.836734694,8,"L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"255","HD","5","8","CA","0","5","A",2011-03-19,2011-03-24,2010-10-29,"FIXED_NA",2157,14,8,0.778,2010-04-27,2010-09-13,7,2,2010-04-24,"","Southern California","5","Private non-Christian","1","K","12",745,"Q",0.333,"1","East Coast","NEW",18,20,2157,"1",2010-09-29,2010-09-29,171,171,"Elementary","Middle","Elementary->Middle","March","K","High","K->High","H","0",0.024161074,0.9,2,"M-L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"256","HD","6","8","CA","0","6","A",2011-03-19,2011-03-24,2010-10-15,"FIXED_NA",2127,31,11,0.608,2010-04-29,2010-08-26,15,4,2010-04-29,"B","Southern California","5","PUBLIC","1","6","8",1103,"Q",0.235,"0","East Coast","EXISTING",51,55,2127,"1",2010-09-15,2010-09-15,185,185,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.046237534,0.927272727,4,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"257","SC","8","FIXED_NA","OR","0","7","A",2011-03-19,2011-03-25,2010-11-15,"FIXED_NA",2644,5,1,0.833,2010-04-14,2010-08-19,1,1,2010-04-13,"B","Pacific Northwest","6","PUBLIC","1","7","8",640,"M",0.333,"0","Costa Rica","NEW",6,7,2644,"1",2010-09-21,2010-09-21,179,179,"Middle","Undefined","Middle->Undefined","March","Middle","Middle","Middle->Middle","S","0",0.009375,0.857142857,1,"M-L","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"258","HD","8","8","CA","0","7","A",2011-03-19,2011-03-25,2010-11-01,"FIXED_NA",2144,30,5,0.588,2010-04-23,2010-09-10,5,2,2010-04-20,"B","Southern California","5","PUBLIC","1","6","8",950,"N",0.216,"0","East Coast","EXISTING",51,53,2144,"2",2010-09-21,2010-11-30,179,109,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.053684211,0.962264151,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"259","HC","8","8","Other.Group.State","0","7","A",2011-03-19,2011-03-25,2010-11-01,"FIXED_NA",3089,33,5,0.825,2010-02-26,2010-08-27,5,7,2010-02-10,"","Other","5","Private non-Christian","1","K","12",1500,"L",0.45,"0","East Coast","EXISTING",40,47,3089,"1",2010-09-07,2010-09-07,193,193,"Middle","Middle","Middle->Middle","March","K","High","K->High","H","1",0.026666667,0.85106383,7,"L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"260","HC","8","8","OR","0","6","A",2011-03-19,2011-03-25,2010-11-19,"FIXED_NA",2260,14,0,0.519,2010-04-13,2010-08-19,1,2,2010-04-13,"B","Pacific Northwest","5","PUBLIC","1","6","8",623,"L",0.111,"0","East Coast","EXISTING",27,29,2260,"1",2010-09-15,2010-09-15,185,185,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.043338684,0.931034483,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"261","HD","7","8","MO","0","7","B",2011-03-19,2011-03-25,2010-10-20,"FIXED_NA",1087,37,6,0.712,2010-03-11,2010-08-26,8,2,2010-03-02,"C","Other","10","PUBLIC","1","6","8",810,"O",0.269,"0","East Coast","EXISTING",52,54,1087,"1",2010-09-16,2010-09-16,184,184,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.064197531,0.962962963,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"262","HD","7","9","CA","0","7","A",2011-03-19,2011-03-25,2010-10-22,"FIXED_NA",2249,10,3,0.625,2010-03-09,2010-08-06,4,2,2010-03-04,"B","Northern California","5","PUBLIC","1","6","8",650,"K",0.188,"0","East Coast","EXISTING",16,18,2249,"1",2010-09-01,2010-09-01,199,199,"Middle","High","Middle->High","March","Middle","Middle","Middle->Middle","H","0",0.024615385,0.888888889,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"263","HC","8","8","OR","0","7","A",2011-03-19,2011-03-25,2010-10-13,"SA",2395,4,2,0.095,2010-02-16,2010-08-25,17,3,2010-02-14,"B","Pacific Northwest","5","PUBLIC","1","6","8",445,"G",0,"0","East Coast","EXISTING",42,45,2395,"1",2010-09-13,2010-09-13,187,187,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.094382022,0.933333333,3,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"264","SC","7","8","NY","0","7","A",2011-03-19,2011-03-25,2010-11-05,"FIXED_NA",2730,7,2,0.539,2010-04-19,2010-04-19,2,1,2010-04-17,"","Other","7","Private non-Christian","0","K","12",360,"Q",0,"0","Costa Rica","NEW",13,14,2730,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","March","K","High","K->High","S","0",0.036111111,0.928571429,1,"S-M","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"265","SC","FIXED_NA","FIXED_NA","Other.Group.State","0","7","A",2011-03-19,2011-03-25,2010-11-18,"FIXED_NA",3349,1,0,0.25,1900-01-01,2010-09-07,0,1,2010-09-03,"","Other","7","Private non-Christian","0","PK","12",787,"P",0.25,"0","Costa Rica","NEW",4,5,3349,"0",1900-01-01,1900-01-01,0,0,"Undefined","Undefined","Undefined->Undefined","March","PK","High","PK->High","S","0",0.005082592,0.8,1,"M-L","0","1","1","1","1","0","0","0","0","0","1","1","1","1","0"
"266","HC","9","11","IA","0","7","A",2011-03-19,2011-03-25,2010-11-10,"FR",2049,10,1,0.357,1900-01-01,2010-09-17,2,3,2010-09-11,"B","Other","8","PUBLIC","1","9","12",425,"I",0.143,"0","East Coast","NEW",28,31,2049,"1",2010-09-28,2010-09-28,172,172,"High","High","High->High","March","High","High","High->High","H","0",0.065882353,0.903225806,3,"S-M","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"267","HD","8","8","Other.Group.State","0","7","A",2011-03-19,2011-03-26,2010-10-01,"FIXED_NA",2739,16,3,0.485,1900-01-01,1900-01-01,9,4,2010-03-12,"","Other","5","Catholic","1","PK","8",800,"L",0.03,"1","East Coast","EXISTING",33,37,2739,"1",2010-09-02,2010-09-02,198,198,"Middle","Middle","Middle->Middle","March","PK","Middle","PK->Middle","H","1",0.04125,0.891891892,4,"M-L","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"268","HD","8","9","NE","0","3","A",2011-03-20,2011-03-22,2010-10-15,"FIXED_NA",1308,11,2,0.917,2010-03-09,2010-08-27,2,1,2010-03-09,"B","Other","10","PUBLIC","0","5","8",520,"L",0.417,"0","East Coast","NEW",12,13,1308,"0",1900-01-01,1900-01-01,0,0,"Middle","High","Middle->High","March","Elementary","Middle","Elementary->Middle","H","0",0.023076923,0.923076923,1,"S-M","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"269","HD","8","8","IL","0","3","A",2011-03-20,2011-03-22,2010-10-01,"FIXED_NA",1016,81,17,0.764,2010-02-18,2010-08-24,17,11,2010-02-18,"A","Other","5","PUBLIC","1","6","8",950,"Q",0.321,"0","East Coast","NEW",106,117,1016,"1",2010-09-14,2010-09-14,187,187,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.111578947,0.905982906,11,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"270","HD","11","12","GA","0","3","A",2011-03-20,2011-03-22,2010-10-31,"FIXED_NA",809,4,2,0.4,1900-01-01,2010-10-04,4,1,2010-10-01,"B","Other","8","PUBLIC","1","9","12",2778,"N",0.2,"0","East Coast","NEW",10,11,809,"1",2010-10-14,2010-10-14,157,157,"High","High","High->High","March","High","High","High->High","H","0",0.003599712,0.909090909,1,"L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"271","HD","7","7","MN","0","4","A",2011-03-20,2011-03-23,2010-11-01,"FIXED_NA",1572,34,9,0.773,2010-04-09,2010-08-26,6,5,2010-04-09,"","Other","5","Private non-Christian","1","6","8",336,"J",0.205,"0","East Coast","EXISTING",44,49,1572,"1",2010-09-27,2010-09-27,174,174,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.130952381,0.897959184,5,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"272","HD","8","8","TX","0","4","A",2011-03-20,2011-03-23,2010-11-01,"SA",1343,0,0,0,2010-04-30,2010-05-03,0,6,2010-04-28,"","Houston","5","Private non-Christian","0","6","12",400,"M",0,"1","East Coast","EXISTING",65,71,1343,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","March","Middle","High","Middle->High","H","1",0.1625,0.915492958,6,"S-M","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"273","HD","5","9","AR","0","4","A",2011-03-20,2011-03-23,2010-10-05,"FIXED_NA",1449,8,5,0.667,1900-01-01,2010-08-25,5,1,2010-08-25,"B","Other","10","PUBLIC","1","5","8",300,"F",0.167,"0","East Coast","NEW",12,13,1449,"1",2010-09-07,2010-09-07,194,194,"Elementary","High","Other.SchoolGradeType","March","Elementary","Middle","Elementary->Middle","H","0",0.04,0.923076923,1,"S","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"274","CD","8","9","WA","1","5","A",2011-03-20,2011-03-24,2010-09-13,"FR",1877,14,2,0.7,2010-05-14,2010-08-25,2,3,2010-05-14,"","Pacific Northwest","5","Private non-Christian","0","K","12",402,"J",0.1,"0","East Coast","NEW",20,23,1877,"0",1900-01-01,1900-01-01,0,0,"Middle","High","Middle->High","March","K","High","K->High","C","0",0.049751244,0.869565217,3,"S-M","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"275","HD","8","8","FL","0","5","B",2011-03-20,2011-03-24,2010-11-15,"FIXED_NA",796,15,4,0.577,2010-04-23,2010-08-23,4,2,2010-04-23,"B","Other","10","PUBLIC","1","PK","12",1306,"J",0.269,"0","East Coast","NEW",26,28,796,"1",2010-10-18,2010-10-18,153,153,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","H","1",0.019908116,0.928571429,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"276","HD","7","8","CO","0","5","A",2011-03-20,2011-03-24,2010-10-01,"FIXED_NA",1954,5,0,0.714,2010-04-19,2010-08-26,0,1,2010-04-15,"A","Other","10","PUBLIC","1","PK","12",375,"O",0,"0","East Coast","NEW",7,8,1954,"1",2010-05-04,2010-05-04,320,320,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","H","0",0.018666667,0.875,1,"S-M","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"277","HD","8","8","OR","1","5","A",2011-03-20,2011-03-24,2010-10-18,"FIXED_NA",2076,2,1,0.4,2010-03-18,2010-09-28,2,1,2010-03-17,"B","Pacific Northwest","5","PUBLIC","1","6","8",381,"N",0,"0","East Coast","NEW",5,6,2076,"1",2010-10-13,2010-10-13,158,158,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.01312336,0.833333333,1,"S-M","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"278","HC","11","12","KS","1","5","A",2011-03-20,2011-03-24,2010-06-01,"FIXED_NA",1999,14,0,0.824,2010-02-01,2010-09-01,0,2,2010-01-30,"B","Other","10","PUBLIC","1","7","12",120,"F",0.353,"0","East Coast","EXISTING",17,19,1999,"1",2010-10-03,2010-10-03,168,168,"High","High","High->High","March","Middle","High","Middle->High","H","0",0.141666667,0.894736842,2,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"279","CD","FIXED_NA","FIXED_NA","OR","0","5","A",2011-03-20,2011-03-24,2010-10-15,"FIXED_NA",1849,7,1,0.583,2010-05-24,2010-09-21,1,1,2010-05-25,"","Pacific Northwest","10","CHD","0","PK","12",195,"M",0.5,"1","East Coast","NEW",12,13,1849,"0",1900-01-01,1900-01-01,0,0,"Undefined","Undefined","Undefined->Undefined","March","PK","High","PK->High","C","0",0.061538462,0.923076923,1,"S","0","1","1","1","0","0","0","0","0","0","1","1","1","1","0"
"280","HD","8","8","FL","0","5","A",2011-03-20,2011-03-24,2010-11-01,"FIXED_NA",1400,44,5,0.667,2010-03-29,2010-08-19,5,6,2010-03-27,"","Other","10","Private non-Christian","1","PK","12",752,"M",0.197,"0","East Coast","EXISTING",66,72,1400,"1",2010-09-08,2010-09-08,193,193,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","H","1",0.087765957,0.916666667,6,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"281","HD","8","9","ID","0","5","A",2011-03-20,2011-03-24,2010-10-01,"FIXED_NA",2029,17,5,0.81,2010-02-12,2010-08-30,4,2,2010-02-12,"B","Other","10","PUBLIC","1","6","8",300,"I",0.238,"0","East Coast","NEW",21,23,2029,"2",2010-03-08,2010-09-27,377,174,"Middle","High","Middle->High","March","Middle","Middle","Middle->Middle","H","0",0.07,0.913043478,2,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"282","HD","7","8","OR","1","5","A",2011-03-20,2011-03-24,2010-10-01,"FIXED_NA",1799,14,2,0.737,2010-04-30,2010-04-30,3,3,2010-04-29,"B","Pacific Northwest","5","PUBLIC","1","6","8",750,"E",0.158,"0","East Coast","NEW",19,22,1799,"1",2010-09-13,2010-09-13,188,188,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.025333333,0.863636364,3,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"283","HD","8","8","GA","0","5","B",2011-03-20,2011-03-24,2010-10-15,"FIXED_NA",763,7,3,0.389,2010-03-23,2010-03-23,4,2,2010-03-20,"","Other","2","CHD","1","6","12",220,"O",0.056,"0","East Coast","NEW",18,20,763,"2",2010-04-20,2010-09-28,334,173,"Middle","Middle","Middle->Middle","March","Middle","High","Middle->High","H","1",0.081818182,0.9,2,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
